step,time_ps,phase,replica_i,replica_j,i,j,effective_temperature_i_k,effective_temperature_j_k,scale_factor_i,scale_factor_j,energy_i_on_i_kj_mol,energy_j_on_j_kj_mol,energy_i_on_j_kj_mol,energy_j_on_i_kj_mol,delta_kj_mol,log_acceptance,accepted,walker_at_replica_00,walker_at_replica_01,walker_at_replica_02
250,0.5,0,0,1,0,1,300.0,533.3333333333334,1.0,0.5625,-13943.085846832812,-14123.587969413918,-14214.536873510344,-13835.562837115935,16.5741056204497,-6.644689052450357,0,0,1,2
500,1.0,1,1,2,1,2,533.3333333333334,1200.0,0.5625,0.25,-14015.601167044373,-13909.127672813816,-13973.818438000122,-13933.330732318313,17.579669539751194,-7.047827521525734,0,0,1,2
750,1.5,0,0,1,0,1,300.0,533.3333333333334,1.0,0.5625,-13997.174238520744,-13866.520346939898,-13957.055001834224,-13889.695340347671,16.944243278747308,-6.793080145297935,0,0,1,2
1000,2.0,1,1,2,1,2,533.3333333333334,1200.0,0.5625,0.25,-13853.635467793934,-13768.900406553648,-13825.850665193522,-13783.948890245161,12.736318908897374,-5.106090232588408,0,0,1,2
